Titre,Date de production,"catégorie fr,en","Sous-catégorie fr,en","Dimensions (largeur, hauteur, profondeur) cm","Technique(s) fr, en",Artiste(s),Collectif?,Ville/Région,Arrondissement,latitude,longitude
Street Karma,06/01/2011,"murale, mural","Mur légal, legal wall","400, 180, 200 cm","murale de style graffiti, graffiti style wall","Monk.e , Axe",,Ville de Longueuil,Springfield Park,45.506565,-73.427863
Les cinq éléments,05/01/2011,"murale, mural","Mur légal, legal wall","1600, 230, 330 cm","murale de style graffiti, graffiti style wall","Monk.e , Axe",,Ville de Longueuil,Saint-Hubert,45.492677,-73.473661
Mère Terre,05/01/2012,"murale, mural","Mur légal, legal wall","300, 130, 200 cm ","murale de style graffiti, graffiti style wall","Monk.e , Axe",,Ville de Longueuil,Saint-Hubert,45.500182,-73.473152
Focus,06/28/2013,"Murale, mural","Mur légal, legal wall","400, 200, 200 cm ","murale de style graffiti, graffiti style wall",Axe,,Ville de Longueuil,Ville de Longeuil,45.543593,-73.471590
Recup,07/23/2013,"Murale, mural","Mur légal, legal wall","(2 murales) 300, 250,0 cm    400, 250, 0 cm  ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.457381,-73.415731
Bar Glacé,07/05/1905,"Murale, mural","Mur légal, legal wall","2 000, 200, 0 cm ","murale de style graffiti, graffiti style wall",Axe,,Ville de Longueuil,Saint-Hubert,45.489028,-73.464306
Centre optimiste Laflèche,10/02/2013,"Murale, mural","Mur légal, legal wall","(2 murales) 800, 280, 0 cm    400, 240, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.492788,-73.463165
Courage,11/08/2013,"Murale, mural","Mur légal, legal wall","1066, 275","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Longueuil,45.539939,-73.488243
Présent,05/01/2013,"murale, mural","Mur légal, legal wall","300, 150, 200 cm","murale de style graffiti, graffiti style wall","Monk.e , Axe ",,Ville de Longueuil,Saint-Hubert,45.496073,-73.454058
Éléphants,09/01/2013,"murale, mural","Mur légal, legal wall","2255.52 ,640.08 , 0 cm","murale de style graffiti, graffiti style wall",,"Monk.e , Shalak attack, Smoky",Ville de Brossard,Brossard,45.464785,-73.474890
Légendes du monde,06/01/2013,"murale, mural","Mur légal, legal wall","300, 150 , 200 cm","murale de style graffiti, graffiti style wall","Axe, Korb, Nasty, Hell-p",,Ville de Longueuil,Longueuil,45.525852,-73.481536
Animal,08/01/2013,"murale, mural","Mur légal, legal wall","200, 600, 600 cm","murale de style graffiti, graffiti style wall","Korb, Miss Wuna",,Ville de Longueuil,Saint-Hubert,45.487969,-73.407884
Murale interactive,07/05/1905,"murale, mural","Mur légal, legal wall","700,100, 0 cm","murale de style graffiti, graffiti style wall",K6A et Axe,,Ville de Longueuil,Saint-Hubert,45.489169,-73.464071
116,03/01/2013,"murale, mural","Mur légal, legal wall","600, 200, 200 cm","murale de style graffiti, graffiti style wall",Axe et Monk.e,,Ville de Longueuil,Longueuil,45.507098,-73.427517
Oiseaux,06/01/2013,"murale, mural","Mur légal, legal wall","440, 200,140 cm","murale de style graffiti, graffiti style wall",Axe,,Villle deLongueuil,Le Vieux-Longueuil,45.542060,-73.471611
Mythos,06/01/2013,"murale, mural","Mur légal, legal wall","400, 200, 200 cm","murale de style graffiti, graffiti style wall",,"Axe, Korb, Amélie Legault, Jonathan Mikel",Ville de Longueuil,Longueuil,45.524781,-73.479928
Symbiose,07/01/2013,"murale, mural","Mur légal, legal wall","(2 murales )150, 120, 2 cm et 120, 220, 100 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.463883,-73.415838
Recup II,05/22/2014,"Murale, mural","Mur légal, legal wall","(10 conteneurs) 200, 200, 220 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.457667,-73.416306
Faune,05/13/2014,"Murale, mural","Mur légal, legal wall","457, 213, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Hyacinthe,Saint-Hyacinthe,45.610580,-72.848805
Splash,05/26/2014,"Murale, mural","Mur légal, legal wall","(2 murales) 180,240 cm 200, 340","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.463185,-73.416068
L'équipe,07/02/2014,"Murale, mural","Mur légal, legal wall","365.76 , 182.88, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Laflèche,45.500784,-73.472349
Rond point,09/25/2014,"Murale, mural","Mur légal, legal wall","(3 modules) 300, 120, 50 cm , 100, 50, 30 cm 110, 75, 30 cm ","murale de style graffiti, graffiti style wall",Miss Wuna,,Ville de Longueuil,Saint-Hubert,45.507086,-73.427528
Boom box,09/25/2014,"Murale, mural","Mur légal, legal wall","400, 200, 170 cm","murale de style graffiti, graffiti style wall",Miss Wuna,,Ville de Longueuil,Saint-Hubert,45.506943,-73.427034
La loi des poissons,11/05/2014,"Murale, mural","Mur légal, legal wall","600, 300, 400 cm ","murale de style graffiti, graffiti style wall",Korb et Crane,,Ville de Brossard,Brossard,45.471841,-73.483802
Protection,05/01/2014,"murale, mural","Mur légal, legal wall","1000, 400 , 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Hyacinthe,Saint-Dominique,45.610554,-72.848784
Belles années,10/01/2014,"murale, mural","Mur légal, legal wall","6500, 3800, 900","murale de style graffiti, graffiti style wall","Korb, Axe",,Ville de Longueuil,Longueuil,"45.555870,",-73.450212
Circus,07/01/2014,"murale, mural","Mur légal, legal wall","100, 200, 75 cm","murale de style graffiti, graffiti style wall","Korb, Crane",,Ville de Longueuil,Longueuil,45.512142,-73.463003
Jean Béliveau,04/01/2015,"murale, mural","Mur légal, legal wall","500, 200, 200 cm","murale de style graffiti, graffiti style wall",Axe,,Ville de Longueuil,Longueuil,45.524654,-73.461142
Aventure,05/01/2015,"murale, mural","Mur légal, legal wall","230, 200, 150 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.501300,-73.476342
Urbain,03/01/2015,"murale, mural","Mur légal, legal wall","(4 oeuvres différentes ) 170, 70, 15 cm","murale de style graffiti, graffiti style wall",Miss Wuna,,Ville de Longueuil,Saint-Hubert,45.506910,-73.427105
Au delà...,11/10/2015,"murale, mural","Mur légal, legal wall","400, 200, 300 cm","murale de style graffiti, graffiti style wall",Korb,,Saint-Roch-de-Richelieu,Saint-Roch-de-Richelieu,45.891889,-73.165333
Temporel,10/22/2015,"murale, mural","Mur légal, legal wall","(7 murales) 310, 150, 30 cm  400, 150, 30 cm  200, 150, 30 cm  400, 150, 0 cm ,  500, 150, 30 cm  300, 150, 30 cm , 300, 150, 30 cm  ","murale de style graffiti, graffiti style wall",Korb,,Ville de Brossard,Brossard,45.453544,-73.475107
Évolution,04/30/2015,"Murale, mural","Mur légal, legal wall","8500, 6000, 2500","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.488905,-73.424303
Recup III,07/16/2015,"Murale, mural","Mur légal, legal wall","100, 100, 150 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.457083,-73.415722
Piano public,09/01/2015,"Murale, mural","Mur légal, legal wall","150, 120, 45 cm ","murale de style graffiti, graffiti style wall",Axe,,Ville de Longueuil,Longueuil,45.537444,-73.510861
Maze and games,01/23/2016,"Murale, mural","Mur légal, legal wall","800, 200, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de laval,Laval,45.567339,-73.760459
Maze and games,01/23/2016,"Murale, mural","Mur légal, legal wall","330, 220, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Laval,Laval,45.567339,-73.760459
Maze and games,01/23/2016,"Murale, mural","Mur légal, legal wall","2 500, 400 , 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Laval,Laval,45.567339,-73.760459
Ouvert sur le monde,09/07/2016,"murale, mural","Mur légal, legal wall","3 000, 300, 0 cm","murale de style graffiti, graffiti style wall","Axe, Korb, Awe, Boporc",,Ville de Brossard,Brossard,45.465312,-73.475380
Souliers,05/13/2016,"Murale, mural","Mur légal, legal wall","1300, 200, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Longueuil,45.533050,-73.497303
École François-Williams,05/27/2016,"Murale, mural","Mur légal, legal wall","( 2 murales) 500, 220, 0 cm  et 400, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Amable,Saint-Amable,45.649666,-73.294162
Saint-Amable,05/27/2016,"Murale, mural","Mur légal, legal wall","850, 750","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Amable,Saint-Amable,45.649435,-73.295543
Navire,06/22/2015,"Murale, mural","Mur légal, legal wall","1 500, 350, 0 cm ","murale de style graffiti, graffiti style wall",AXE,,Ville de Brossard,Brossard,45.448861,-73.495194
Piano public (renard),06/12/2016,"Murale, mural","Mur légal, legal wall","200, 200, 100 cm ","murale de style graffiti, graffiti style wall",Axe,,Ville de Longueuil,Saint-Hubert,45.491028,-73.402556
Xplose dinosaurs,07/06/2016,"Murale, mural","Mur légal, legal wall","1 200, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Saint-Hilaire,Ville de saint-Hilaire,45.581034,-73.180957
Pieuvre,07/13/2016,"Murale, mural","Mur légal, legal wall","300, 250, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Bille de Beloeil,Beloeil,45.565706,-73.206398
Vie culturelle de Granby,07/29/2016,"Murale, mural","Mur légal, legal wall","304, 304, 0 cm ",Anamorphose,B.rue.B,,Ville de Granby,Granby,45.398861,-72.724583
Calloopso,08/02/2016,"murale, mural","Mur légal, legal wall","700, 170, 200 cm","murale de style graffiti, graffiti style wall","Axe, Korb",,Ville de Longueuil,Longueuil,45.534554,-73.483395
Parc René-Veillet,10/27/2016,"Murale, mural","Mur légal, legal wall","(2 murales ) 213, 152 , 0 cm  213, 152, 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Springfield Park,45.486139,-73.450556
École secondaire Gérard Filion,09/26/2016,"Murale, mural","Mur légal, legal wall","400, 200, 200 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Longueuil,45.512667,-73.491111
Fondation fauna,10/10/2016,"Murale, mural","Mur légal, legal wall","70 000, 300 , 0 cm ","murale de style graffiti, graffiti style wall",Korb,,Ville de Carignang,Carignan,45.439657,-73.345968
Bar Ganadara,04/04/2017,"Murale, mural","Mur légal, legal wall","5 000, 500, 0 cm","murale de style graffiti, graffiti style wall","Awe, Axe",,Ville de Montréal,Centre-ville,45.492631,-73.580456
Chillax,05/04/2017,"Murale, mural","mur légal, legal wall","600, 200, 0 cm","murale de style graffiti, graffiti style wall",Korb,,Ville de Longueuil,Saint-Hubert,45.498042,-73.408397
