Murale,Année,Artiste,Ville,Arrondissement,Quartier,Édifice,Adresse,Emplacement,HLM,Batisseurs Culturels,LAT,LON
"""Bouillon de culture""",2007,Yannick Picard,Montréal,Villeray–Saint-Michel–Parc-Extension,St Michel,Habitations des Érables (OMHM),"8090, rue des Érables, H2E 2S3",,checked,,45°26'56.3064''N,73° 38' 54.8016'' W
"""Rencontre entre les cultures""",2007,Yannick Picard,Montréal,Villeray–Saint-Michel–Parc-Extension,St Michel,Centre éducatif communautaire René-Goupil,"4105, 47e rue, H1Z 1L6",,,,45° 34' 49.332'' N,73° 37' 19.452'' W
"""L'élan Créateur""",2007,Hélène Fleury,Montréal,Ville-Marie,Quartier Latin,,"302, rue Ontario Est, H2X 1H6",angle Sanguinet,,,45° 30' 53.442'' N,73° 33' 55.6596'' W
"""The Society for The Reform Of The Golden Rule""",2008,Carlito Dalceggio,Montréal,Ville-Marie,Quartier Latin,,"1755, rue Saint-Denis, H2X 3K4",angle Ontario,,,45° 30' 56.7756'' N,73° 33' 52.9416'' W
"""The Key Of The Golden Rule""",2008,Carlito Dalceggio,Montréal,Ville-Marie,Quartier Latin,,"1689, rue Saint-Denis, H2X 3K4",angle Emery,,,45° 30' 55.3752'' N,73° 33' 49.842'' W
"""L'Euphorie des sages - 2012""",2008,Carlito Dalceggio,Montréal,Le Plateau-Mont-Royal,Le Plateau,,"3601, rue De Bullion, H2X 3A2",angle Prince-Arthur,,,45° 30' 55.4292'' N,73° 34' 17.2632'' W
"""Diversitree""",2008,Peru Dyer,Montréal,Côtes-des-Neiges-NDG,Notre-Dame-de-Grâce,,"6450, rue Somerled, H4V 1S5",angle Cavendish,,,45° 34' 13.3752'' N,73° 34' 21.6732'' W
"""La 6e sphère de la culture""",2008,Dominique Desbiens,Montréal,Villeray–Saint-Michel–Parc-Extension,Villeray,Habitations Saint-Georges (OMHM),"7255, rue Lajeunesse, H2R 3C3",angle Jean-Talon,checked,,45° 32' 23.0244'' N,73° 36' 50.7168'' W
"""All The Mountains Know Me""",2009,Peru Dyer,Montréal,Ville-Marie,Quartier Latin,,"2070, rue St-Denis, H2X 3L1",entre Sherbrooke et Ontario,,,45° 30' 58.7268'' N,73° 33' 58.7304'' W
"""Isocèle""",2009,Nayan (avec la participation de Rafael Sottolichio et,Montréal,Villeray–Saint-Michel–Parc-Extension,Villeray,Centre communautaire Patro Le Prevost,"7355, av. Christophe-Colomb, H2R 2S5",angle Everett,,,45° 32' 38.148'' N,73° 36' 51.2928'' W
