Titre,TitreVar,Catégorie,CatégorieANG,Sous-catégorie de l'objet,SousCategorieANG,Date,Matériaux,Technique de fabrication,Dimensions,Arrondissement,Latitude,Longitude,Détail localisation,Prénom,Nom,NomCollectif
Jeanne au Bûcher,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1944,pierre,sculpté,370 x 135 x 74,Université de Montréal (Rectorat),45.501698,-73.616719,Pavillon Claire-McNicoll de l'Université de Montréal: Près de l'entrée principale,Maxime,Real del Sarte,
Le Buisson ardent,,Beaux-Arts,Fine Arts,Peinture,Painting,1958,,peint,213 x 416,Université de Montréal (Rectorat),45.5004,-73.616397,Pavillon Paul-G. Desmarais de l'Université de Montréal: Escalier d'accès au deuxième étage,Gabriel,Filion,
Réalité cosmique,,Beaux-Arts,Fine Arts,Peinture,Painting,1964,,peint; collé,244 x 418,Université de Montréal (Rectorat),45.498317,-73.617965,"Pavillon Jean-Brillant: 1er étage - Corridor vers le Pavillon 5255, Decelles",Jesús Carlos de,Vilallonga,
Claude Champagne,,Arts décoratifs,Decorative Arts,Orfèvrerie,Goldsmithery,1965,métal: bronze,coulé,,Université de Montréal (Rectorat),45.509232,-73.609198,Pavillon de la Faculté de musique de l'Université de Montréal: Hall d'entrée de la Salle Claude-Champagne,Delvica,Allard,
Murale,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1966,métal; peinture,assemblé; peint,129 x 410,Université de Montréal (Rectorat),45.499692,-73.617089,"Garage Louis-Collin (attenant au Pavillon Lionel-Groulx): Corridor couvert reliant le Garage Louis-Colin au Pavillon Lionel-Groulx, niveau 4",Gérald,Zahnd,
Sans qualification,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1967,métal: aluminium,coulé,251 x 36 x 36,Université de Montréal (Rectorat),45.498553,-73.617577,"Pavillon Jean-Brillant: Sur la Place de la Laurentienne, à côté des fenêtres de la cafétéria",Walter,Yarwood,
Édouard Montpetit (1881-1954),,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1967,métal: bronze; pierre: calcaire?; pierre: granit,coulé,500 x 130 x 130,Université de Montréal (Rectorat),45.506884,-73.614737,"Pavillon J.-A.-Desève de l'Université de Montréal: Près de l'escalier pour aller sur la montagne, à la droite du pavillon",Sylvia,Daoust,
Molécules,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1967,métal: bronze,coulé,400 x 700,Université de Montréal (Rectorat),45.510356,-73.611698,Pavillon Marie-Victorin: Rotonde - B-3,Johannes,Burla,
Hommage à Kodaly,Homage to Kodaly,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1967,métal: bronze; patine,coulé,152 x 106 x 44,Université de Montréal (Rectorat),45.501999,-73.61634,"Pavillon Roger-Gaudry de l'Université de Montréal: Dans la cour d'honneur, devant l'entrée de la Faculté de médecine (Aile P)",Sorel,Etrog,
La Justice,,Beaux-Arts,Fine Arts,Sculpture,Sculpture,1968,métal: acier inoxydable; verre,assemblé,156 x 182 x 30,Université de Montréal (Rectorat),45.49847,-73.616912,Pavillon Maximilien-Caron (Faculté de droit): Hall d'entrée - A-3406,Jacques G de,Tonnancour,
